cidade,referencia_cidade
ico,1641
iconha,1642
ielmo marinho,1643
iepe,1644
igaci,1645
igapora,1646
igaracu do tiete,1647
igarapava,1648
igarape,1649
igarape-acu,1650
igarape-miri,1651
igarassu,1652
igarata,1653
igaratinga,1654
igrapiuna,1655
igreja nova,1656
igrejinha,1657
iguaba grande,1658
iguai,1659
iguape,1660
iguaracu,1661
iguatama,1662
iguatu,1663
ijui,1664
ilha comprida,1665
ilha de itamaraca,1666
ilha dos valadares,1667
ilha grande,1668
ilha solteira,1669
ilhabela,1670
ilheus,1671
ilhota,1672
ilicinea,1673
ilopolis,1674
imaculada,1675
imbau,1676
imbe,1677
imbe de minas,1678
imbituba,1679
imbituva,1680
imbuia,1681
imigrante,1682
imperatriz,1683
inacio martins,1684
inaciolandia,1685
inaja,1686
inconfidentes,1687
indaial,1688
indaiatuba,1689
independencia,1690
indiana,1691
indianopolis,1692
indiapora,1693
indiara,1694
indiaroba,1695
inga,1696
ingai,1697
inhambupe,1698
inhapi,1699
inhapim,1700
inhauma,1701
inhuma,1702
inhumas,1703
inimutaba,1704
inocencia,1705
inubia paulista,1706
iomere,1707
ipaba,1708
ipameri,1709
ipanema,1710
ipaporanga,1711
ipatinga,1712
ipaumirim,1713
ipaussu,1714
ipe,1715
ipecaeta,1716
ipero,1717
ipiabas,1718
ipiacu,1719
ipiau,1720
ipigua,1721
ipira,1722
ipiranga,1723
ipiranga de goias,1724
ipiranga do norte,1725
ipiranga do sul,1726
ipixuna do para,1727
ipojuca,1728
ipora,1729
ipora do oeste,1730
ipu,1731
ipua,1732
ipubi,1733
ipueira,1734
ipueiras,1735
ipuiuna,1736
ipumirim,1737
ipupiara,1738
iracema,1739
iracemapolis,1740
irai,1741
irai de minas,1742
iramaia,1743
irani,1744
irape,1745
irapua,1746
irapuru,1747
iraquara,1748
irara,1749
irati,1750
iraucuba,1751
irece,1752
iretama,1753
irineopolis,1754
irupi,1755
isaias coelho,1756
ita,1757
itaara,1758
itabaiana,1759
itabaianinha,1760
itabatan,1761
itabela,1762
itabera,1763
itaberaba,1764
itaberai,1765
itabi,1766
itabira,1767
itabirinha,1768
itabirito,1769
itaborai,1770
itabuna,1771
itacarambi,1772
itacare,1773
itacoatiara,1774
itacurussa,1775
itagi,1776
itagiba,1777
itagimirim,1778
itaguacu,1779
itaguacu da bahia,1780
itaguai,1781
itaguaje,1782
itaguara,1783
itaguari,1784
itaguaru,1785
itai,1786
itaicaba,1787
itaiopolis,1788
itaipava,1789
itaipulandia,1790
itaitinga,1791
itaituba,1792
itaja,1793
itajai,1794
itajobi,1795
itaju,1796
itaju do colonia,1797
itajuba,1798
itajuipe,1799
italva,1800
itamaraju,1801
itamarandiba,1802
itamari,1803
itambacuri,1804
itambaraca,1805
itambe,1806
itamira,1807
itamogi,1808
itamonte,1809
itanhaem,1810
itanhandu,1811
itanhanga,1812
itanhem,1813
itanhomi,1814
itaobim,1815
itaoca,1816
itaocara,1817
itapaci,1818
itapage,1819
itapagipe,1820
itapaje,1821
itaparica,1822
itape,1823
itapecerica,1824
itapecerica da serra,1825
itapecuru mirim,1826
itapejara d'oeste,1827
itapema,1828
itapemirim,1829
itaperucu,1830
itaperuna,1831
itapetim,1832
itapetinga,1833
itapetininga,1834
itapeva,1835
itapevi,1836
itapicuru,1837
itapipoca,1838
itapira,1839
itapiranga,1840
itapirapua,1841
itapirapua paulista,1842
itapissuma,1843
itapitanga,1844
itapiuna,1845
itapoa,1846
itapolis,1847
itapora,1848
itaporanga,1849
itaporanga d'ajuda,1850
itapui,1851
itapura,1852
itapuranga,1853
itaquaquecetuba,1854
itaqui,1855
itaquirai,1856
itaquitinga,1857
itarana,1858
itarantim,1859
itarare,1860
itarema,1861
itariri,1862
itatiaia,1863
itatiaiucu,1864
itatiba,1865
itatiba do sul,1866
itatim,1867
itatinga,1868
itau,1869
itau de minas,1870
itauba,1871
itaueira,1872
itauna,1873
itinga,1874
itiquira,1875
itirapina,1876
itirucu,1877
itiuba,1878
itobi,1879
itororo,1880
itu,1881
ituacu,1882
itubera,1883
itueta,1884
ituiutaba,1885
itumbiara,1886
itupeva,1887
itupiranga,1888
ituporanga,1889
iturama,1890
itutinga,1891
ituverava,1892
iuna,1893
ivai,1894
ivaipora,1895
ivate,1896
ivinhema,1897
ivora,1898
ivoti,1899
jaboatao dos guararapes,1900
jabora,1901
jaborandi,1902
jaboti,1903
jaboticabal,1904
jaboticatubas,1905
jacaraci,1906
jacarau,1907
jacare,1908
jacareacanga,1909
jacarei,1910
jacarei / sao paulo,1911
jacarezinho,1912
jaci,1913
jaciara,1914
jacigua,1915
jacinto,1916
jacinto machado,1917
jacobina,1918
jacui,1919
jacuipe,1920
jacuizinho,1921
jacunda,1922
jacupiranga,1923
jacutinga,1924
jaguapita,1925
jaguaquara,1926
jaguaracu,1927
jaguarao,1928
jaguare,1929
jaguarembe,1930
jaguari,1931
jaguariaiva,1932
jaguaribara,1933
jaguaribe,1934
jaguariuna,1935
jaguaruana,1936
jaguaruna,1937
jaiba,1938
jales,1939
jamaica,1940
jamapara,1941
jambeiro,1942
jampruca,1943
janauba,1944
jandaia,1945
jandaia do sul,1946
jandaira,1947
jandira,1948
janduis,1949
janiopolis,1950
januaria,1951
japaraiba,1952
japaratuba,1953
japeri,1954
japi,1955
japira,1956
japoata,1957
japuiba,1958
japura,1959
jaqueira,1960
jaquirana,1961
jaragua,1962
jaragua do sul,1963
jaraguari,1964
jardim,1965
jardim abc de goias,1966
jardim alegre,1967
jardim de piranhas,1968
jardim do serido,1969
jardim olinda,1970
jardinopolis,1971
jari,1972
jarinu,1973
jaru,1974
jatai,1975
jataizinho,1976
jatauba,1977
jatoba,1978
jau,1979
jaua,1980
jaupaci,1981
jauru,1982
jeceaba,1983
jenipapo de minas,1984
jequeri,1985
jequia da praia,1986
jequie,1987
jequitai,1988
jequitiba,1989
jequitinhonha,1990
jeremoabo,1991
jerico,1992
jeriquara,1993
jeronimo monteiro,1994
jesuania,1995
jesuitas,1996
jesupolis,1997
ji parana,1998
ji-parana,1999
jijoca de jericoacoara,2000
jiquirica,2001
joacaba,2002
joaima,2003
joanopolis,2004
joao alfredo,2005
joao camara,2006
joao dourado,2007
joao lisboa,2008
joao monlevade,2009
joao neiva,2010
joao pessoa,2011
joao pinheiro,2012
joao ramalho,2013
joaquim nabuco,2014
joaquim pires,2015
joaquim tavora,2016
joinville,2017
jordania,2018
jose boiteux,2019
jose bonifacio,2020
jose da penha,2021
jose de freitas,2022
joselandia,2023
joviania,2024
juara,2025
juatuba,2026
juazeiro,2027
juazeiro do norte,2028
jucas,2029
jucurucu,2030
jucurutu,2031
juina,2032
juiz de fora,2033
julio de castilhos,2034
julio mesquita,2035
jumirim,2036
junco do serido,2037
jundiai,2038
jundiai do sul,2039
junqueiro,2040
junqueiropolis,2041
jupi,2042
juquia,2043
juquitiba,2044
juranda,2045
jurema,2046
juripiranga,2047
juru,2048
juruaia,2049
juruena,2050
juruti,2051
juscimeira,2052
jussara,2053
jussari,2054
jussiape,2055
juti,2056
juvenilia,2057
juzeiro do norte,2058
kalore,2059
ladainha,2060
ladario,2061
lagarto,2062
lages,2063
lages - sc,2064
lago da pedra,2065
lago verde,2066
lagoa,2067
lagoa d'anta,2068
lagoa da canoa,2069
lagoa da confusao,2070
lagoa da prata,2071
lagoa de sao francisco,2072
lagoa de velhos,2073
lagoa do carro,2074
lagoa do mato,2075
lagoa do ouro,2076
lagoa do piaui,2077
lagoa dos gatos,2078
lagoa dos patos,2079
lagoa dos tres cantos,2080
lagoa dourada,2081
lagoa formosa,2082
lagoa grande,2083
lagoa nova,2084
lagoa real,2085
lagoa salgada,2086
lagoa santa,2087
lagoa vermelha,2088
lagoao,2089
lagoinha,2090
lagoinha do piaui,2091
laguna,2092
laje do muriae,2093
lajeado,2094
lajeado grande,2095
lajedo,2096
lajinha,2097
lamarao,2098
lambari,2099
lamim,2100
lapa,2101
laranja da terra,2102
laranjal,2103
laranjal do jari,2104
laranjal paulista,2105
laranjeiras do sul,2106
laurentino,2107
lauro de freitas,2108
lauro muller,2109
lavinia,2110
lavras,2111
lavras da mangabeira,2112
lavras do sul,2113
lavrinhas,2114
leandro ferreira,2115
lebon regis,2116
leme,2117
lencois,2118
lencois paulista,2119
leoberto leal,2120
leopoldina,2121
leopoldo de bulhoes,2122
leopolis,2123
liberato salzano,2124
liberdade,2125
lidice,2126
lima duarte,2127
limeira,2128
limeira do oeste,2129
limoeiro,2130
limoeiro do norte,2131
lindoeste,2132
lindoia,2133
lindoia do sul,2134
lindolfo collor,2135
linhares,2136
lins,2137
livramento,2138
livramento de nossa senhora,2139
loanda,2140
lobato,2141
londrina,2142
lontras,2143
lorena,2144
loreto,2145
lourdes,2146
louveira,2147
lucas do rio verde,2148
lucelia,2149
lucena,2150
lucianopolis,2151
luis antonio,2152
luis correia,2153
luis eduardo magalhaes,2154
luisburgo,2155
luiz alves,2156
luiziana,2157
luiziania,2158
luizlandia do oeste,2159
luminarias,2160
lunardelli,2161
lupercio,2162
lupionopolis,2163
lutecia,2164
luz,2165
luziania,2166
luziapolis,2167
luzilandia,2168
macae,2169
macaiba,2170
macambara,2171
macambira,2172
macapa,2173
macaparana,2174
macatuba,2175
macau,2176
macaubal,2177
macaubas,2178
macedonia,2179
maceio,2180
machacalis,2181
machadinho,2182
machadinho d'oeste,2183
machado,2184
machados,2185
macieira,2186
macuco,2187
macuco de minas,2188
madalena,2189
madre de deus,2190
madre de deus de minas,2191
mae d'agua,2192
mae do rio,2193
mafra,2194
magalhaes de almeida,2195
magda,2196
mage,2197
maioba,2198
maiquinique,2199
mairi,2200
mairinque,2201
mairipora,2202
mairipotaba,2203
major porto,2204
major vieira,2205
malacacheta,2206
malhador,2207
mallet,2208
mamanguape,2209
mambai,2210
mambore,2211
mamonas,2212
mampituba,2213
manaira,2214
manaus,2215
mandaguacu,2216
mandaguari,2217
mandirituba,2218
manduri,2219
manfrinopolis,2220
manga,2221
mangaratiba,2222
mangueirinha,2223
manhuacu,2224
manhumirim,2225
manoel ribas,2226
manoel urbano,2227
manoel viana,2228
mansidao,2229
mantena,2230
mantenopolis,2231
maquine,2232
mar de espanha,2233
mar vermelho,2234
mara rosa,2235
maraba,2236
maracacume,2237
maracai,2238
maracaju,2239
maracana,2240
maracanau,2241
maracas,2242
maragogi,2243
maragogipe,2244
maranguape,2245
maranhaozinho,2246
marapoama,2247
marataizes,2248
marau,2249
maravilha,2250
maravilhas,2251
marcelino vieira,2252
marco,2253
marcos parente,2254
marechal candido rondon,2255
marechal deodoro,2256
marechal floriano,2257
mari,2258
maria da fe,2259
marialva,2260
mariana,2261
mariano moro,2262
mariapolis,2263
maribondo,2264
marica,2265
mariental,2266
marilac,2267
marilandia,2268
marilandia do sul,2269
marilena,2270
marilia,2271
mariluz,2272
maringa,2273
marinopolis,2274
mario campos,2275
mariopolis,2276
maripa,2277
maristela,2278
marituba,2279
marmeleiro,2280
marques de souza,2281
martinesia,2282
martinho campos,2283
martinopolis,2284
martins,2285
martins soares,2286
mascote,2287
massape,2288
massaranduba,2289
mata,2290
mata de sao joao,2291
mata grande,2292
mata roma,2293
mata verde,2294
matao,2295
matelandia,2296
materlandia,2297
mateus leme,2298
matias barbosa,2299
matias olimpio,2300
matinhos,2301
matipo,2302
mato leitao,2303
mato rico,2304
mato verde,2305
matoes,2306
matoes do norte,2307
matozinhos,2308
matrincha,2309
matriz de camaragibe,2310
matupa,2311
matutina,2312
maua,2313
maua da serra,2314
maua/sao paulo,2315
maurilandia,2316
mauriti,2317
maximiliano de almeida,2318
medeiros,2319
medeiros neto,2320
medianeira,2321
medicilandia,2322
medina,2323
meleiro,2324
mendes,2325
mendes pimentel,2326
mendonca,2327
mercedes,2328
merces,2329
meridiano,2330
meruoca,2331
mesquita,2332
messias targino,2333
miguel calmon,2334
miguel pereira,2335
miguelopolis,2336
milagres,2337
milha,2338
mimoso de goias,2339
mimoso do sul,2340
minacu,2341
minas do leao,2342
minas gerais,2343
minas novas,2344
minduri,2345
mineiros,2346
mineiros do tiete,2347
ministro andreazza,2348
mira estrela,2349
miracatu,2350
miracema,2351
miradouro,2352
miraguai,2353
mirai,2354
miraima,2355
miranda,2356
miranda do norte,2357
mirandiba,2358
mirandopolis,2359
miranorte,2360
mirante da serra,2361
mirante do paranapanema,2362
mirassol,2363
mirassol d'oeste,2364
miravania,2365
mirinzal,2366
missal,2367
missao velha,2368
missi,2369
mocajuba,2370
mococa,2371
moeda,2372
moema,2373
mogi das cruses,2374
mogi das cruzes,2375
mogi das cruzes / sp,2376
mogi guacu,2377
mogi mirim,2378
mogi-guacu,2379
mogi-mirim,2380
moju,2381
mojui dos campos,2382
mombaca,2383
mombuca,2384
moncao,2385
moncoes,2386
mondai,2387
mongagua,2388
monnerat,2389
monsenhor paulo,2390
monsenhor tabosa,2391
montadas,2392
montalvania,2393
montanha,2394
montanhas,2395
montauri,2396
monte alegre,2397
monte alegre de minas,2398
monte alegre de sergipe,2399
monte alegre do sul,2400
monte alto,2401
monte alverne,2402
monte aprazivel,2403
monte azul,2404
monte azul paulista,2405
monte belo,2406
monte belo do sul,2407
monte bonito,2408
monte carlo,2409
monte carmelo,2410
monte castelo,2411
monte formoso,2412
monte gordo,2413
monte mor,2414
monte santo,2415
monte santo de minas,2416
monte siao,2417
monte verde,2418
monteiro lobato,2419
monteiropolis,2420
montenegro,2421
montes claros,2422
montezuma,2423
montividiu do norte,2424
morada nova,2425
morada nova de minas,2426
moreilandia,2427
moreira sales,2428
moreno,2429
morpara,2430
morretes,2431
morrinhos,2432
morro agudo,2433
morro agudo de goias,2434
morro da fumaca,2435
morro da garca,2436
morro de sao paulo,2437
morro do chapeu,2438
morro do ferro,2439
morro do pilar,2440
morro grande,2441
morro redondo,2442
morro reuter,2443
morro vermelho,2444
morungaba,2445
mossamedes,2446
mossoro,2447
mostardas,2448
motuca,2449
mozarlandia,2450
mucambo,2451
mucuge,2452
mucuri,2453
mucurici,2454
muliterno,2455
mundo novo,2456
munhoz,2457
munhoz de melo,2458
muniz freire,2459
muquem do sao francisco,2460
muqui,2461
muriae,2462
murici,2463
muritiba,2464
murucupi,2465
murutinga do sul,2466
mussurepe,2467
mutuipe,2468
mutum,2469
mutum parana,2470
mutunopolis,2471
muzambinho,2472
nacip raydan,2473
nantes,2474
nanuque,2475
nao-me-toque,2476
narandiba,2477
natal,2478
natercia,2479
natividade,2480
natividade da serra,2481
navegantes,2482
navirai,2483
nazare,2484
nazare da mata,2485
nazare paulista,2486
nazareno,2487
nazario,2488
neopolis,2489
nepomuceno,2490
neropolis,2491
neves paulista,2492
nhandeara,2493
nilopolis,2494
nipoa,2495
niquelandia,2496
niteroi,2497
nobres,2498
nonoai,2499
nortelandia,2500
nossa senhora da gloria,2501
nossa senhora das dores,2502
nossa senhora das gracas,2503
nossa senhora de caravaggio,2504
nossa senhora de lourdes,2505
nossa senhora do o,2506
nossa senhora do remedio,2507
nossa senhora do socorro,2508
nova alvorada,2509
nova alvorada do sul,2510
nova america,2511
nova america da colina,2512
nova andradina,2513
nova araca,2514
nova aurora,2515
nova bandeirantes,2516
nova bassano,2517
nova boa vista,2518
nova brasilandia d'oeste,2519
nova brescia,2520
nova campina,2521
nova canaa,2522
nova canaa do norte,2523
nova canaa paulista,2524
nova cantu,2525
nova crixas,2526
nova cruz,2527
nova era,2528
nova erechim,2529
nova esperanca,2530
nova esperanca do piria,2531
nova esperanca do sudoeste,2532
nova esperanca do sul,2533
nova europa,2534
nova fatima,2535
nova floresta,2536
nova friburgo,2537
nova granada,2538
nova guarita,2539
nova guataporanga,2540
nova hartz,2541
nova iguacu,2542
nova independencia,2543
nova ipixuna,2544
nova itaberaba,2545
nova lacerda,2546
nova laranjeiras,2547
nova lima,2548
nova londrina,2549
nova luzitania,2550
nova mamore,2551
nova monte verde,2552
nova mutum,2553
nova odessa,2554
nova olimpia,2555
nova olinda,2556
nova olinda do maranhao,2557
nova padua,2558
nova palma,2559
nova petropolis,2560
nova ponte,2561
nova prata,2562
nova prata do iguacu,2563
nova redencao,2564
nova resende,2565
nova roma,2566
nova roma do sul,2567
nova russas,2568
nova santa barbara,2569
nova santa rita,2570
nova santa rosa,2571
nova serrana,2572
nova soure,2573
nova timboteua,2574
nova trento,2575
nova ubirata,2576
nova venecia,2577
nova veneza,2578
nova vicosa,2579
nova xavantina,2580
novais,2581
novo alegre,2582
novo barreiro,2583
novo brasil,2584
novo cabrais,2585
novo cruzeiro,2586
novo gama,2587
novo hamburgo,2588
"novo hamburgo, rio grande do sul, brasil",2589
novo horizonte,2590
novo itacolomi,2591
novo jardim,2592
novo lino,2593
novo machado,2594
novo mundo,2595
novo oriente,2596
novo oriente de minas,2597
novo oriente do piaui,2598
novo planalto,2599
novo progresso,2600
novo repartimento,2601
novo sao joaquim,2602
nucleo residencial pilar,2603
nuporanga,2604
ocara,2605
ocaucu,2606
oeiras,2607
oeiras do para,2608
oiapoque,2609
olaria,2610
oleo,2611
olho d'agua das cunhas,2612
olho d'agua das flores,2613
olhos d'agua,2614
olimpia,2615
olinda,2616
olindina,2617
oliveira,2618
oliveira dos brejinhos,2619
onda verde,2620
oriente,2621
orindiuva,2622
orizania,2623
orizona,2624
orlandia,2625
orleans,2626
orobo,2627
oroco,2628
oros,2629
ortigueira,2630
osasco,2631
oscar bressane,2632
osorio,2633
osvaldo cruz,2634
osvaldo kroeff,2635
otacilio costa,2636
ourem,2637
ouricuri,2638
ourilandia do norte,2639
ourinhos,2640
ourizona,2641
ouro,2642
ouro branco,2643
ouro fino,2644
ouro preto,2645
ouro preto do oeste,2646
ouro verde,2647
ouro verde de goias,2648
ouro verde de minas,2649
ouro verde do oeste,2650
ouroeste,2651
ouvidor,2652
pacaembu,2653
pacaja,2654
pacajus,2655
pacatuba,2656
paco do lumiar,2657
pacoti,2658
pacotuba,2659
pacuja,2660
padre bernardo,2661
padre carvalho,2662
padre gonzales,2663
padre paraiso,2664
paial,2665
paicandu,2666
paincandu,2667
paineiras,2668
pains,2669
paiva,2670
palestina,2671
palhano,2672
palhoca,2673
palma,2674
palma sola,2675
palmares,2676
palmares do sul,2677
palmares paulista,2678
palmas,2679
palmeira,2680
palmeira d oeste,2681
palmeira d'oeste,2682
palmeira das missoes,2683
palmeira dos indios,2684
palmeiras,2685
palmeiras de goias,2686
palmeirinha,2687
palminopolis,2688
palmital,2689
palmital de minas,2690
palmitinho,2691
palmitos,2692
palmopolis,2693
palotina,2694
panambi,2695
pancas,2696
panelas,2697
panorama,2698
pantano grande,2699
papagaios,2700
papanduva,2701
papucaia,2702
para de minas,2703
paracambi,2704
paracatu,2705
paracuru,2706
paragominas,2707
paraguacu,2708
paraguacu paulista,2709
parai,2710
paraiba do sul,2711
paraibano,2712
paraibuna,2713
paraipaba,2714
paraiso,2715
paraiso das aguas,2716
paraiso do norte,2717
paraiso do sul,2718
paraiso do tocantins,2719
paraisopolis,2720
paraju,2721
parambu,2722
paramirim,2723
parana,2724
paranacity,2725
paranagua,2726
paranaiba,2727
paranaiguara,2728
paranaita,2729
paranapanema,2730
paranapoema,2731
paranapua,2732
paranatinga,2733
paranavai,2734
paranhos,2735
paraopeba,2736
parapua,2737
parati,2738
paraty,2739
parauapebas,2740
parauna,2741
pardinho,2742
pareci novo,2743
parelhas,2744
paripiranga,2745
paripueira,2746
pariquera-acu,2747
parisi,2748
parnaiba,2749
parnamirim,2750
parnarama,2751
parobe,2752
passa quatro,2753
passa tempo,2754
passa tres,2755
passagem,2756
passagem franca,2757
passira,2758
passo de camaragibe,2759
passo de torres,2760
passo fundo,2761
passos,2762
passos maia,2763
pastos bons,2764
patis,2765
pato bragado,2766
pato branco,2767
patos,2768
patos de minas,2769
patrocinio,2770
patrocinio do muriae,2771
patrocinio paulista,2772
patu,2773
paty do alferes,2774
pau brasil,2775
pau d'arco,2776
pau dos ferros,2777
paudalho,2778
paula candido,2779
paula freitas,2780
pauliceia,2781
paulinia,2782
paulino neves,2783
paulista,2784
paulistana,2785
paulistania,2786
paulo afonso,2787
paulo de faria,2788
paulo frontin,2789
paulo jacinto,2790
paulo lopes,2791
pavao,2792
peabiru,2793
pecanha,2794
pederneiras,2795
pedra,2796
pedra azul,2797
pedra bela,2798
pedra branca,2799
pedra do indaia,2800
pedra lavrada,2801
pedra menina,2802
pedra preta,2803
pedralva,2804
pedranopolis,2805
pedrao,2806
pedras altas,2807
pedras de fogo,2808
pedregulho,2809
pedreira,2810
pedreiras,2811
pedrinhas paulista,2812
pedrinopolis,2813
pedro afonso,2814
pedro canario,2815
pedro de toledo,2816
pedro gomes,2817
pedro ii,2818
pedro leopoldo,2819
pedro osorio,2820
pedro velho,2821
peixe,2822
peixoto de azevedo,2823
pejucara,2824
pelotas,2825
penaforte,2826
penapolis,2827
pendencias,2828
penedo,2829
penha,2830
pentecoste,2831
pequi,2832
pequizeiro,2833
perdigao,2834
perdizes,2835
perdoes,2836
pereira barreto,2837
pereiras,2838
pereiro,2839
peri mirim,2840
periquito,2841
peritiba,2842
perobal,2843
perola,2844
perola d'oeste,2845
perola independente,2846
perpetuo socorro,2847
peruibe,2848
pescador,2849
pesqueira,2850
petrolandia,2851
petrolina,2852
petropolis,2853
piacabucu,2854
piacatu,2855
piacu,2856
pianco,2857
piao,2858
piata,2859
piau,2860
picada cafe,2861
picarra,2862
picarras,2863
picos,2864
picui,2865
piedade,2866
piedade de caratinga,2867
piedade do rio grande,2868
piedade dos gerais,2869
pien,2870
pilao arcado,2871
pilar,2872
pilar do sul,2873
pimenta,2874
pimenta bueno,2875
pimenteiras,2876
pindai,2877
pindamonhangaba,2878
pindare mirim,2879
pindoba,2880
pindobacu,2881
pindorama,2882
pindorama do tocantins,2883
pindoretama,2884
pingo-d'agua,2885
pinhais,2886
pinhais/pr,2887
pinhal da serra,2888
pinhalao,2889
pinhalzinho,2890
pinhao,2891
pinheiral,2892
pinheiro,2893
pinheiro machado,2894
pinheiros,2895
pinhotiba,2896
pintadas,2897
pinto bandeira,2898
pio ix,2899
pio xii,2900
piquerobi,2901
piquete,2902
piracaia,2903
piracanjuba,2904
piracema,2905
piracicaba,2906
piracuruca,2907
pirai,2908
pirai do norte,2909
pirai do sul,2910
piraju,2911
pirajuba,2912
pirajui,2913
pirambu,2914
piranga,2915
pirangi,2916
piranguinho,2917
piranhas,2918
pirapemas,2919
pirapetinga,2920
pirapo,2921
pirapora,2922
pirapora do bom jesus,2923
pirapozinho,2924
piraquara,2925
pirassununga,2926
piratini,2927
piratininga,2928
piratuba,2929
pirauba,2930
pirenopolis,2931
pires do rio,2932
pires ferreira,2933
piripa,2934
piripiri,2935
piritiba,2936
pirituba,2937
pirpirituba,2938
pitanga,2939
pitanga de estrada,2940
pitangueiras,2941
pitangui,2942
pitimbu,2943
pium,2944
piuma,2945
piumhi,2946
piumhii,2947
placas,2948
planaltina,2949
planaltina de goias,2950
planaltina do parana,2951
planaltino,2952
planalto,2953
planura,2954
poa,2955
pocao,2956
pocao de pedras,2957
pocinhos,2958
poco de pedra,2959
poco fundo,2960
poco redondo,2961
poco verde,2962
pocoes,2963
pocoes de paineiras,2964
pocos de caldas,2965
pocrane,2966
pojuca,2967
polo petroquimico de triunfo,2968
poloni,2969
pombal,2970
pombos,2971
pomerode,2972
pompeia,2973
pompeu,2974
pongai,2975
ponta grossa,2976
ponta pora,2977
pontal,2978
pontal do parana,2979
pontalina,2980
pontalinda,2981
pontao,2982
ponte alta do norte,2983
ponte nova,2984
ponte serrada,2985
pontes e lacerda,2986
pontes gestal,2987
ponto belo,2988
ponto do marambaia,2989
ponto dos volantes,2990
ponto novo,2991
populina,2992
porangaba,2993
porangatu,2994
porciuncula,2995
porecatu,2996
portalegre,2997
portao,2998
porteiras,2999
porteirinha,3000
portela,3001
portelandia,3002
porto acre,3003
porto alegre,3004
porto alegre do norte,3005
porto amazonas,3006
porto belo,3007
porto calvo,3008
porto de pedras,3009
porto dos gauchos,3010
porto esperidiao,3011
porto estrela,3012
porto feliz,3013
porto ferreira,3014
porto firme,3015
porto franco,3016
porto grande,3017
porto lucena,3018
porto murtinho,3019
porto nacional,3020
porto real,3021
porto rico,3022
porto seguro,3023
porto trombetas,3024
porto uniao,3025
porto velho,3026
porto xavier,3027
portoferreira,3028
posse,3029
posto da mata,3030
pote,3031
potengi,3032
potim,3033
potiragua,3034
potirendaba,3035
pouso alegre,3036
pouso alto,3037
pouso novo,3038
pouso redondo,3039
poxoreu,3040
prado,3041
pradopolis,3042
prados,3043
praia grande,3044
praia norte,3045
pranchita,3046
prata,3047
pratapolis,3048
presidente alves,3049
presidente bernardes,3050
presidente castello branco,3051
presidente dutra,3052
presidente epitacio,3053
presidente getulio,3054
presidente janio quadros,3055
presidente juscelino,3056
presidente kennedy,3057
presidente kubitschek,3058
presidente lucena,3059
presidente medici,3060
presidente nereu,3061
presidente olegario,3062
presidente prudente,3063
presidente tancredo neves,3064
presidente venceslau,3065
primavera,3066
primavera do leste,3067
primeiro de maio,3068
princesa isabel,3069
progresso,3070
promissao,3071
propria,3072
protasio alves,3073
prudencio thomaz,3074
prudente de morais,3075
prudentopolis,3076
pugmil,3077
pureza,3078
purilandia,3079
putinga,3080
puxinana,3081
quadra,3082
quarai,3083
quata,3084
quatigua,3085
quatis,3086
quatituba,3087
quatro barras,3088
quatro bocas,3089
quatro pontes,3090
quedas do iguacu,3091
queimadas,3092
queimados,3093
queiroz,3094
queixada,3095
queluz,3096
querencia,3097
querencia do norte,3098
quevedos,3099
quijingue,3100
quilombo,3101
quilometro 14 do mutum,3102
quinta do sol,3103
quintana,3104
quipapa,3105
quirinopolis,3106
quissama,3107
quitandinha,3108
quixabeira,3109
quixada,3110
quixelo,3111
quixeramobim,3112
quixere,3113
rafard,3114
rainha do mar,3115
rancharia,3116
rancho alegre,3117
rancho alegre d'oeste,3118
rancho queimado,3119
raposo,3120
raposos,3121
raul soares,3122
ravena,3123
realeza,3124
reboucas,3125
rechan,3126
recife,3127
recreio,3128
recreio dos bandeirantes,3129
redencao,3130
redencao da serra,3131
redencao do gurgueia,3132
redentora,3133
regeneracao,3134
regente feijo,3135
reginopolis,3136
registro,3137
remanso,3138
remigio,3139
renascenca,3140
reriutaba,3141
resende,3142
resende costa,3143
reserva,3144
reserva do cabacal,3145
reserva do iguacu,3146
resplendor,3147
ressaquinha,3148
restinga seca,3149
retirolandia,3150
riachao das neves,3151
riachao do jacuipe,3152
riachinho,3153
riacho da cruz,3154
riacho das almas,3155
riacho de santana,3156
riacho de santo antonio,3157
riacho dos machados,3158
riachuelo,3159
rianapolis,3160
ribas do rio pardo,3161
ribeira,3162
ribeira do amparo,3163
ribeira do pombal,3164
ribeirao,3165
ribeirao bonito,3166
ribeirao branco,3167
ribeirao cascalheira,3168
ribeirao claro,3169
ribeirao das neves,3170
ribeirao do pinhal,3171
ribeirao do sul,3172
ribeirao pires,3173
ribeirao preto,3174
ribeirao preto / sao paulo,3175
ribeirao pretp,3176
ribeirao vermelho,3177
ribeiraozinho,3178
ribeiro junqueira,3179
ribeiropolis,3180
riberao preto,3181
rifaina,3182
rincao,3183
rinopolis,3184
rio acima,3185
rio azul,3186
rio bananal,3187
rio bonito,3188
rio bonito do iguacu,3189
rio branco,3190
rio branco do sul,3191
rio brilhante,3192
rio casca,3193
rio claro,3194
rio das antas,3195
rio das flores,3196
rio das ostras,3197
rio das pedras,3198
rio de contas,3199
rio de janeiro,3200
rio de janeiro / rio de janeiro,3201
rio de janeiro \rio de janeiro,3202
"rio de janeiro, rio de janeiro, brasil",3203
rio do antonio,3204
rio do campo,3205
rio do oeste,3206
rio do pires,3207
rio do sul,3208
rio doce,3209
rio dos cedros,3210
rio dos indios,3211
rio espera,3212
